43	14	33
23	16	22
18	19	28
45	25	10
59	60	13
16	45	47
15	17	18
74	64	72
6	28	21
15	18	6
63	62	61
17	16	8
45	16	25
52	48	46
34	41	39
20	7	67
81	79	78
23	20	8
17	8	18
25	17	15
19	18	8
29	30	31
20	19	8
30	21	28
67	19	20
23	24	20
28	6	18
53	22	58
20	24	7
16	23	8
24	23	22
9	44	51
51	58	47
9	51	52
17	25	16
47	26	51
41	34	27
33	14	32
67	31	19
29	34	33
30	32	21
31	30	28
32	30	29
19	31	28
27	29	31
33	32	29
21	32	14
34	29	27
35	69	3
41	36	39
37	34	39
27	42	41
33	37	40
39	12	37
12	38	40
33	34	37
12	39	36
43	40	35
12	40	37
40	38	69
66	7	65
5	36	70
57	55	4
70	68	5
58	51	44
40	43	33
53	54	55
48	10	46
47	45	26
26	52	51
45	48	26
22	16	47
10	48	45
52	46	49
55	54	4
83	1	49
47	58	22
53	44	50
44	9	50
48	52	26
9	52	49
24	22	53
60	61	57
53	50	54
24	53	55
63	64	65
62	55	57
57	56	60
4	56	57
53	58	44
73	59	77
68	70	42
13	60	56
61	60	59
64	42	65
62	63	24
55	62	24
57	61	62
63	61	64
24	63	7
11	71	76
68	64	74
66	65	42
63	65	7
42	27	66
27	31	67
7	66	67
67	66	27
64	61	72
68	75	5
40	69	35
38	3	69
36	41	70
42	70	41
42	64	68
72	59	73
59	72	61
76	74	73
77	59	13
73	74	72
74	71	75
11	76	73
74	75	68
71	74	76
77	82	73
77	79	81
84	81	78
84	80	81
77	13	79
82	77	81
80	82	81
82	80	11
11	73	82
78	2	84
49	46	83
2	80	84
